an_iter,KL_loss,attr_loss,recn_loss,net_loss
132750,16.561457,3.6750958,-172.54616,-189.10757
133500,17.435944,3.6911552,-168.01752,-185.45341
134250,17.144133,3.888504,-167.08348,-184.22763
135000,17.36411,3.6631238,-166.34377,-183.70787
135750,17.11181,3.744932,-175.7119,-192.82372
136500,18.009394,3.7865078,-185.50069,-203.51006
137250,17.178871,3.6317632,-173.49986,-190.67871
138000,17.776596,3.9322913,-170.67299,-188.44958
138750,17.10569,3.6458035,-162.67671,-179.78242
139500,17.124105,3.8213987,-167.62282,-184.74689
140250,17.512827,3.79151,-162.75305,-180.2659
141000,16.430462,3.6668577,-167.84756,-184.27803
141750,17.46693,3.8324194,-165.98366,-183.45059
142500,17.820763,3.6715925,-177.68611,-195.50691
143250,17.411077,3.6671557,-179.50908,-196.92018
144000,17.81496,3.6980088,-158.3911,-176.20607
144750,18.212542,3.6737144,-173.60863,-191.82115
145500,17.66027,3.8375924,-173.26979,-190.93005
146250,17.915176,3.765178,-167.3897,-185.30487
147000,17.267525,3.7295935,-167.55559,-184.82312
147750,17.661905,3.9639022,-172.25356,-189.91547
148500,17.417917,3.7875152,-161.98323,-179.40115
149250,17.508808,3.7725437,-171.60992,-189.11873
150000,16.97868,3.669798,-171.27269,-188.25137
150750,17.200138,3.6446793,-167.2302,-184.43033
151500,17.245573,3.7872572,-179.63518,-196.88074
152250,17.069254,3.7029564,-162.3166,-179.38586
153000,17.654932,3.8044553,-188.91211,-206.56702
153750,17.378223,3.7700655,-171.32022,-188.69844
154500,16.854206,3.5621479,-172.93413,-189.78835
155250,17.678947,3.7327988,-170.14091,-187.81987
156000,17.54982,3.85381,-185.99748,-203.54732
156750,17.55975,3.753627,-168.52359,-186.08331
157500,17.264172,3.9095318,-166.64348,-183.90764
158250,17.243637,3.6667254,-169.03685,-186.2805
159000,17.049364,3.5621252,-172.35092,-189.40031
159750,17.02535,3.5259821,-168.26819,-185.29353
160500,17.390251,3.7705579,-191.94106,-209.33128
161250,17.388878,3.8157504,-163.63858,-181.02744
162000,16.586182,3.7616065,-172.45433,-189.04053
162750,17.66338,3.822572,-170.77014,-188.4335
163500,17.508224,3.739939,-177.45027,-194.95848
164250,16.941313,3.769681,-169.34157,-186.28291
165000,17.848448,3.8046076,-175.49722,-193.34566
165750,17.977175,3.691207,-169.3515,-187.3287
166500,17.063164,3.8420708,-176.50725,-193.57039
167250,17.012684,3.87324,-179.83134,-196.84402
168000,17.394331,3.8157644,-174.45854,-191.85289
168750,17.565481,3.7509403,-169.55757,-187.12306
169500,17.562885,3.6950204,-166.57373,-184.13663
170250,17.261501,3.8437076,-173.28621,-190.5477
171000,17.939516,3.753466,-174.19405,-192.13356
171750,17.270061,3.8765469,-179.4883,-196.75836
172500,16.801071,3.8583393,-157.32141,-174.12248
173250,17.565104,3.7936072,-165.27902,-182.84412
174000,16.470604,3.6126444,-167.75333,-184.2239
174750,17.09675,3.8636703,-168.25891,-185.35565
175500,17.337696,3.942606,-173.9341,-191.27179
176250,17.584917,3.7884197,-173.87445,-191.45938
177000,17.112803,3.8553498,-167.102,-184.21483
177750,17.526487,3.7325492,-165.57133,-183.09778
178500,16.80836,3.6168027,-164.90994,-181.71832
179250,17.604488,3.7480874,-177.96472,-195.56921
180000,16.743633,3.8123145,-173.3842,-190.1278
180750,17.097094,3.9177728,-175.89075,-192.98781
181500,16.91034,3.8731399,-170.70209,-187.61243
182250,18.056461,3.7789733,-168.63255,-186.68904
183000,17.912043,3.5535738,-179.05275,-196.96484
183750,17.74998,3.8585012,-169.19972,-186.9497
184500,16.289,3.6232874,-171.47763,-187.76665
